YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,UA,247,PHX,IAH,111,123,0,12,0,0,0,111
2015,1,1,4,UA,256,RSW,IAH,0,-1,0,,,,,
2015,1,1,4,UA,319,EWR,MCO,3,-18,0,,,,,
2015,1,1,4,UA,374,OMA,ORD,12,-6,0,,,,,
2015,1,1,4,US,635,SMF,PHX,-9,12,0,,,,,
2015,1,1,4,US,646,OAK,PHX,-2,8,0,,,,,
2015,1,1,4,US,1941,PVD,CLT,-5,-14,0,,,,,
2015,1,1,4,UA,422,RNO,DEN,-3,14,0,,,,,
2015,1,1,4,UA,544,PIT,IAH,22,24,0,2,0,22,0,0
2015,1,1,4,UA,1016,DEN,IAH,-8,-4,0,,,,,
2015,1,1,4,WN,4122,BOS,BWI,-4,-26,0,,,,,
2015,1,1,4,WN,4822,LAS,BWI,2,-25,0,,,,,
2015,1,1,4,WN,2215,ABQ,HOU,7,22,0,15,0,7,0,0
2015,1,1,4,WN,676,PHX,SLC,1,-6,0,,,,,
2015,1,1,4,WN,2787,PIT,FLL,-1,-26,0,,,,,
2015,1,1,4,WN,4859,PVD,BWI,6,-13,0,,,,,
2015,1,1,4,WN,597,SFO,ATL,-6,-16,0,,,,,
2015,1,1,4,UA,1158,SFO,ORD,-3,-4,0,,,,,
2015,1,1,4,UA,1163,MCO,EWR,-5,-18,0,,,,,
2015,1,1,4,UA,1188,PDX,IAH,13,11,0,,,,,
2015,1,1,4,UA,1198,BOS,ORD,-3,-11,0,,,,,
2015,1,1,4,UA,1224,SFO,LAX,5,-11,0,,,,,
2015,1,1,4,UA,1296,SAT,LAX,16,-3,0,,,,,
2015,1,1,4,UA,1431,BOS,LAX,3,-5,0,,,,,
2015,1,1,4,UA,1637,SEA,EWR,6,-14,0,,,,,
2015,1,1,4,UA,1735,LAX,ORD,7,-16,0,,,,,
2015,1,1,4,US,410,IAH,PHX,-7,-4,0,,,,,
2015,1,1,4,US,459,MCO,PHX,-3,10,0,,,,,
2015,1,1,4,US,610,SFO,PHX,-3,3,0,,,,,
2015,1,1,4,AA,72,DFW,MCO,6,3,0,,,,,
2015,1,1,4,AA,196,MIA,PHL,4,14,0,,,,,
2015,1,1,4,AA,304,SLC,DFW,1,12,0,,,,,
2015,1,1,4,AA,175,DCA,DFW,,,1,,,,,
2015,1,1,4,AA,281,MIA,DFW,-1,-1,0,,,,,
2015,1,1,4,AA,233,BWI,MIA,43,31,0,0,0,31,0,0
2015,1,1,4,AA,1100,DFW,LGA,-6,-5,0,,,,,
2015,1,1,4,AA,1103,LGA,DFW,,,1,,,,,
2015,1,1,4,AA,1028,DEN,ORD,1,-27,0,,,,,
2015,1,1,4,AA,1039,MCI,DFW,6,3,0,,,,,
2015,1,1,4,AA,1055,MCO,DFW,,,1,,,,,
2015,1,1,4,AA,1180,SFO,DFW,,,1,,,,,
2015,1,1,4,AA,1345,TUL,DFW,-4,-11,0,,,,,
2015,1,1,4,AA,1297,LGA,MIA,68,50,0,0,0,50,0,0
2015,1,1,4,AA,1411,LIT,DFW,-5,-10,0,,,,,
2015,1,1,4,AA,1084,MIA,LGA,-2,-9,0,,,,,
2015,1,1,4,AA,1088,LAS,DFW,-3,7,0,,,,,
2015,1,1,4,AA,1534,PDX,DFW,-4,-3,0,,,,,
2015,1,1,4,AA,1573,TPA,DFW,-6,-20,0,,,,,
2015,1,1,4,AA,1660,SMF,DFW,11,31,0,20,0,11,0,0
2015,1,1,4,AA,2204,MSY,MIA,-5,-13,0,,,,,
2015,1,1,4,AA,1515,LAX,ORD,-3,-26,0,,,,,
2015,1,1,4,AA,2307,OMA,DFW,-6,5,0,,,,,
2015,1,1,4,AA,2363,OKC,DFW,10,30,0,20,0,10,0,0
2015,1,1,4,AS,81,SEA,ANC,-3,-13,0,,,,,
2015,1,1,4,AS,162,FAI,ANC,-16,-9,0,,,,,
2015,1,1,4,AS,200,SEA,SJC,-10,-9,0,,,,,
2015,1,1,4,AS,342,SEA,OAK,-5,-16,0,,,,,
2015,1,1,4,AS,406,PDX,SJC,-5,-13,0,,,,,
2015,1,1,4,AS,477,LAX,SEA,-5,-9,0,,,,,
2015,1,1,4,AS,631,PHX,SEA,-5,-12,0,,,,,
2015,1,1,4,AS,683,DEN,SEA,-11,-34,0,,,,,
2015,1,1,4,AS,699,GEG,SEA,-2,3,0,,,,,
2015,1,1,4,B6,130,RSW,JFK,-3,-2,0,,,,,
2015,1,1,4,B6,154,PBI,JFK,-1,9,0,,,,,
2015,1,1,4,B6,353,JFK,PBI,-6,-22,0,,,,,
2015,1,1,4,B6,226,TPA,JFK,-7,-5,0,,,,,
2015,1,1,4,B6,272,FLL,LGA,-1,2,0,,,,,
2015,1,1,4,B6,447,OAK,LGB,-8,-10,0,,,,,
